,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
190,1d_resnet34,classification,16,25,0.0001,15,64,,10000,,0.686916351318359,0.63,0.81
82,1d_resnet34,regression,32,25,0.0001,15,64,,10,-0.016863776627788003,163.55694580078125,0.7000000000000001,0.86
83,1d_resnet34,regression,32,25,0.0001,15,64,,1000,-0.028370625260796003,165.40774536132812,0.72,0.88
84,1d_resnet34,regression,32,25,0.0001,15,64,,100,0.011033207686905001,159.06985473632812,0.71,0.86
85,1d_resnet34,regression,32,25,0.0001,15,64,,0,-0.080062790547337,173.72215270996094,0.7000000000000001,0.87
86,1d_resnet34,regression,32,25,0.0001,15,64,,10000,0.023633572918414003,157.04315185546875,0.75,0.89
201,1d_resnet34,classification,32,25,0.0001,15,64,,10,,0.680973887443542,0.65,0.8200000000000001
202,1d_resnet34,classification,32,25,0.0001,15,64,,1000,,0.642220020294189,0.65,0.84
203,1d_resnet34,classification,32,25,0.0001,15,64,,100,,0.731600046157836,0.64,0.84
204,1d_resnet34,classification,32,25,0.0001,15,64,,0,,0.731295347213745,0.61,0.81
205,1d_resnet34,classification,32,25,0.0001,15,64,,10000,,0.709549665451049,0.61,0.81
5,2d_lstm_resnet34,regression,1,25,0.0001,15,64,,10,-0.070947021017045,172.2559356689453,0.71,0.84
6,2d_lstm_resnet34,regression,1,25,0.0001,15,64,,1000,-0.061423208878047,170.72409057617188,0.73,0.88
7,2d_lstm_resnet34,regression,1,25,0.0001,15,64,,100,-0.12105009672901301,180.3147430419922,0.7000000000000001,0.85
8,2d_lstm_resnet34,regression,1,25,0.0001,15,64,,0,-0.055842055643389,169.82638549804688,0.74,0.87
9,2d_lstm_resnet34,regression,1,25,0.0001,15,64,,10000,-0.105645594207547,177.83700561523438,0.6900000000000001,0.84
122,2d_lstm_resnet34,classification,1,25,0.0001,15,64,,10,,0.5921884775161741,0.62,0.8200000000000001
123,2d_lstm_resnet34,classification,1,25,0.0001,15,64,,1000,,0.6050785183906551,0.56,0.79
124,2d_lstm_resnet34,classification,1,25,0.0001,15,64,,100,,0.5761674046516411,0.61,0.8
125,2d_lstm_resnet34,classification,1,25,0.0001,15,64,,0,,0.5737590193748471,0.64,0.84
126,2d_lstm_resnet34,classification,1,25,0.0001,15,64,,10000,,0.5958124399185181,0.61,0.8
0,2d_lstm_resnet34,regression,2,25,0.0001,15,64,,10,0.039603242272318005,154.4745330810547,0.73,0.87
1,2d_lstm_resnet34,regression,2,25,0.0001,15,64,,1000,-0.025957642669897002,165.01963806152344,0.75,0.87
2,2d_lstm_resnet34,regression,2,25,0.0001,15,64,,100,0.017883593325294,157.96800231933594,0.72,0.87
3,2d_lstm_resnet34,regression,2,25,0.0001,15,64,,0,-0.024388766106657002,164.7672882080078,0.74,0.88
4,2d_lstm_resnet34,regression,2,25,0.0001,15,64,,10000,0.06361954989373801,150.61163330078125,0.76,0.9
117,2d_lstm_resnet34,classification,2,25,0.0001,15,64,,10,,0.630869686603546,0.61,0.8200000000000001
118,2d_lstm_resnet34,classification,2,25,0.0001,15,64,,1000,,0.571773648262023,0.66,0.84
119,2d_lstm_resnet34,classification,2,25,0.0001,15,64,,100,,0.6089398860931391,0.63,0.8200000000000001
120,2d_lstm_resnet34,classification,2,25,0.0001,15,64,,0,,0.5882912874221801,0.68,0.86
121,2d_lstm_resnet34,classification,2,25,0.0001,15,64,,10000,,0.5608419179916381,0.68,0.84
