,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
95,2d_resnet34,regression,1,100,0.0001,15,64,,0,0.343052308452419,96.97178649902344,0.79,0.91
96,2d_resnet34,regression,1,100,0.0001,15,64,,10000,0.33671191894184505,97.90768432617188,0.8,0.91
207,2d_resnet34,classification,1,100,0.0001,15,64,,10,,0.5366161465644831,0.63,0.8300000000000001
208,2d_resnet34,classification,1,100,0.0001,15,64,,1000,,0.539203166961669,0.63,0.84
209,2d_resnet34,classification,1,100,0.0001,15,64,,100,,0.553493797779083,0.59,0.81
210,2d_resnet34,classification,1,100,0.0001,15,64,,0,,0.540102899074554,0.62,0.8300000000000001
87,2d_resnet34,regression,2,100,0.0001,15,64,,10,0.43765551458864405,83.00743865966797,0.85,0.9400000000000001
88,2d_resnet34,regression,2,100,0.0001,15,64,,1000,0.44254923767473203,82.28507995605469,0.85,0.9400000000000001
89,2d_resnet34,regression,2,100,0.0001,15,64,,100,0.46114830648352606,79.53968048095703,0.86,0.9400000000000001
90,2d_resnet34,regression,2,100,0.0001,15,64,,0,0.44724702234551306,81.59164428710938,0.85,0.9400000000000001
91,2d_resnet34,regression,2,100,0.0001,15,64,,10000,0.42760146750311706,84.49151611328125,0.85,0.9400000000000001
202,2d_resnet34,classification,2,100,0.0001,15,64,,10,,0.5367328524589531,0.64,0.84
203,2d_resnet34,classification,2,100,0.0001,15,64,,1000,,0.531369268894195,0.64,0.8300000000000001
204,2d_resnet34,classification,2,100,0.0001,15,64,,100,,0.5428645014762871,0.66,0.84
205,2d_resnet34,classification,2,100,0.0001,15,64,,0,,0.536081910133361,0.62,0.8300000000000001
206,2d_resnet34,classification,2,100,0.0001,15,64,,10000,,0.532633662223815,0.65,0.84
102,2d_resnet34,regression,4,100,0.0001,15,64,,10,0.43931194263259105,82.76292419433594,0.84,0.93
103,2d_resnet34,regression,4,100,0.0001,15,64,,1000,0.484333576513421,76.11730194091797,0.85,0.9400000000000001
104,2d_resnet34,regression,4,100,0.0001,15,64,,100,0.49197013145745006,74.99008178710938,0.86,0.9400000000000001
105,2d_resnet34,regression,4,100,0.0001,15,64,,0,0.47795350375465606,77.05907440185547,0.85,0.9400000000000001
106,2d_resnet34,regression,4,100,0.0001,15,64,,10000,0.453418474336498,80.68067932128906,0.85,0.9400000000000001
216,2d_resnet34,classification,4,100,0.0001,15,64,,10,,0.5272585153579711,0.67,0.86
217,2d_resnet34,classification,4,100,0.0001,15,64,,1000,,0.530863642692565,0.68,0.84
218,2d_resnet34,classification,4,100,0.0001,15,64,,100,,0.5200124382972711,0.6900000000000001,0.85
219,2d_resnet34,classification,4,100,0.0001,15,64,,0,,0.525781095027923,0.66,0.84
107,2d_resnet34,regression,8,100,0.0001,15,64,,10,0.5369470657066411,68.35105895996094,0.87,0.9400000000000001
108,2d_resnet34,regression,8,100,0.0001,15,64,,1000,0.543392636752399,67.39962768554688,0.87,0.9500000000000001
109,2d_resnet34,regression,8,100,0.0001,15,64,,100,0.545190980691272,67.13417053222656,0.88,0.9500000000000001
110,2d_resnet34,regression,8,100,0.0001,15,64,,0,0.538466856625837,68.12671661376953,0.88,0.9500000000000001
